Title,Year,Rotten Tomatoes Score,IMDb Rating,Production Cost(Adjusted for Inflation),Final Box Office Sales(Adjusted for Inflation)
Blades of Glory,2007,70%,,,
Winter Passing,2005,40%,,,
Semi-Pro,2008,23%,,,
House of My Father,2012,42%,,,
The LEGO Movie,2014,96%,,,
Melinda and Melinda,2004,51%,,,
Anchorman 2: The Legend Continues,2013,75%,,,
Everything Must Go,2010,73%,,,
Bewitched,2005,24%,,,
