Title,Year,Rotten Tomatoes Score,IMDb Rating,Production Cost(Adjusted for Inflation),Final Box Office Sales(Adjusted for Inflation)
Everything Must Go,2010,73%,,,
Spirited,2022,71%,,,
Stranger Than Fiction,2006,73%,,,
Elf,2003,85%,,,
Zoolander No. 2,2016,22%,,,
Holmes &amp; Watson,2018,10%,,,
Downhill,2020,36%,,,
Old School,2003,60%,,,
Zoolander,2001,65%,,,
Winter Passing,2005,40%,,,
